"George Mason University Department of Police and Public SafetyDAILY CRIME AND FIRE LOGJanuary 2022",,,,,,
"Wednesday, January 19, 2022",,,,,,
Report Date,"ReportTime","IncidentDate",Incident Time,Location,Case Number / Nature of Case / Brief Description / Officer Unit ID,Status
1/19/2022,5:04 PM,"MultipleDates","MultipleTimes","Fairfax Campus(online)","22-000282 / 21-008021 / Stalking. Complainant (GMU) reported receiving unwantedcontact on multiple occasions. (48/Grant)","Referred to TitleIX"
"Tuesday, January 18, 2022",,,,,,
Report Date,"ReportTime","IncidentDate",Incident Time,Location,Case Number / Nature of Case / Brief Description / Officer Unit ID,Status
No incidents to report.,,,,,,
"Monday, January 17, 2022",,,,,,
Report Date,"ReportTime","IncidentDate",Incident Time,Location,Case Number / Nature of Case / Brief Description / Officer Unit ID,Status
No incidents to report.,,,,,,
"Sunday, January 16, 2022",,,,,,
Report Date,"ReportTime","IncidentDate",Incident Time,Location,Case Number / Nature of Case / Brief Description / Officer Unit ID,Status
No incidents to report.,,,,,,
"Saturday, January 15, 2022",,,,,,
Report Date,"ReportTime","IncidentDate",Incident Time,Location,Case Number / Nature of Case / Brief Description / Officer Unit ID,Status
No incidents to report.,,,,,,
"Friday, January 14, 2022",,,,,,
Report Date,"ReportTime","IncidentDate",Incident Time,Location,Case Number / Nature of Case / Brief Description / Officer Unit ID,Status
No incidents to report.,,,,,,
"Thursday, January 13, 2022",,,,,,
Report Date,"ReportTime","IncidentDate",Incident Time,Location,Case Number / Nature of Case / Brief Description / Officer Unit ID,Status
No incidents to report.,,,,,,
"Wednesday, January 12, 2022",,,,,,
Report Date,"ReportTime","IncidentDate",Incident Time,Location,Case Number / Nature of Case / Brief Description / Officer Unit ID,Status
1/12/2022,1:00 PM,1/12/2022,1:00 PM,Masonvale,"22-000185 / Hit and Run. Complainant (GMU) reported a hit and run of a vehicle(39/Honeycutt)",Inactive
"Tuesday, January 11, 2022",,,,,,
Report Date,"ReportTime","IncidentDate",Incident Time,Location,Case Number / Nature of Case / Brief Description / Officer Unit ID,Status
No incidents to report.,,,,,,
"Monday, January 10, 2022",,,,,,
Report Date,"ReportTime","IncidentDate",Incident Time,Location,Case Number / Nature of Case / Brief Description / Officer Unit ID,Status
1/10/2022,1:50 AM,Unknown,Unknown,Thompson Hall,"22-000157 / Damage/Destruction/Vandalism of Property. Complainant (GMU) reportedvandalism to a door (spray paint). (45/Volpe)",Inactive
"Sunday, January 9, 2022",,,,,,
Report Date,"ReportTime","IncidentDate",Incident Time,Location,Case Number / Nature of Case / Brief Description / Officer Unit ID,Status
No incidents to report.,,,,,,
"Saturday, January 8, 2022",,,,,,
Report Date,"ReportTime","IncidentDate",Incident Time,Location,Case Number / Nature of Case / Brief Description / Officer Unit ID,Status
1/8/2022,8:07 PM,1/8/2022,8:07 PM,"Potomac ScienceCenter(Woodbridge)","22-000126 / Hit and Run / Damage/Destruction/Vandalism of Property. Complainant(GMU) reported a hit and run of a traffic cone. (31/Simkovitz)",Inactive
"Friday, January 7, 2022",,,,,,
Report Date,"ReportTime","IncidentDate",Incident Time,Location,Case Number / Nature of Case / Brief Description / Officer Unit ID,Status
No incidents to report.,,,,,,
"Thursday, January 6, 2022",,,,,,
Report Date,"ReportTime","IncidentDate",Incident Time,Location,Case Number / Nature of Case / Brief Description / Officer Unit ID,Status
No incidents to report.,,,,,,
"Wednesday, January 5, 2022",,,,,,
Report Date,"ReportTime","IncidentDate",Incident Time,Location,Case Number / Nature of Case / Brief Description / Officer Unit ID,Status
1/5/2022,11:30 PM,1/5/2022,11:30 PM,"Engineeringbuilding","22-000057 / Trespassing. Subject (GMU) was referred to Office of Student Conduct(OSC) for trespassing. (58/Vega)",Referred to OSC
"Tuesday, January 4, 2022",,,,,,
Report Date,"ReportTime","IncidentDate",Incident Time,Location,Case Number / Nature of Case / Brief Description / Officer Unit ID,Status
No incidents to report.,,,,,,
"Monday, January 3, 2022",,,,,,
Report Date,"ReportTime","IncidentDate",Incident Time,Location,Case Number / Nature of Case / Brief Description / Officer Unit ID,Status
1/3/2022,7:37 AM,1/3/2022,7:00 AM,"Roanoke RiverRoad and PatriotCircle","22-000020 / Hit and Run / Damage/Destruction/Vandalism of Property. Complainant(GMU) reported a hit and run of a sign. (45/Volpe)",Closed
"Sunday, January 2, 2022",,,,,,
Report Date,"ReportTime","IncidentDate",Incident Time,Location,Case Number / Nature of Case / Brief Description / Officer Unit ID,Status
No incidents to report.,,,,,,
"Saturday, January 1, 2022",,,,,,
Report Date,"ReportTime","IncidentDate",Incident Time,Location,Case Number / Nature of Case / Brief Description / Officer Unit ID,Status
No incidents to report.,,,,,,
"",,,,,,
*Amendments to the Crime and Fire Log are updated within two business days. Questions? Please contact the Clery Compliance Coordinator at (703) 993-5497 or cleryact@gmu.edu.,,,,,,
